"ID_ARTICLE","ID_SAMPLE","id_effect","Authors","PublicationYear","PublicationType","Country","GGGI","GeoArea","SchoolLevel","GradeM","MeanAge_months","TaskName","Standardized","Computerized","IndexName","ScoreType","ScoreSign","MathContent","N","male_N","fem_N","male_mean","male_sd","fem_mean","fem_sd","eff","vi","vi_0","lb","ub"
3488,"3488_1",222,"Curtis, 2021",2021,0,"United States",0.739076923,"NorthAmerica",NA,8.5,NA,"STAR - math assessment",0,"1","grade-equivalent scores","Raw",1,"NationalTest",135,64,71,37.61,26.41,43.21,22.29,-0.230180746991136,0.0299057410284957,0.0297095070422535,-0.572188539772289,0.111827045790016
3511,"3511_1",223,"D. D. Marsh, 2021",2021,0,"United States",0.739076923,"NorthAmerica","4.High",11,NA,NA,0,"0","Accuracy","theta-score",1,"BroadMathematics",4143490,2084950,2058540,0.66,1.299,-0.58,1.147,1.0115491864688,1.08888361960097e-06,9.65408993543509e-07,1.00950397155858,1.01359440137902
63,"63_1",224,"Dammann, 2010",2010,1,"United States",0.739076923,"NorthAmerica","2.Primary",5,NA,"Math state assessment (MSA)",1,"0","Accuracy","Raw",1,"NationalTest",60579,31147,29432,426.41,39.54,427.54,37.64,-0.0292529598960237,6.6089507840774e-05,6.60824448679395e-05,-0.0451868943809353,-0.0133190254111122
63,"63_2",225,"Dammann, 2010",2010,1,"United States",0.739076923,"NorthAmerica","3.Middle",8,NA,"Math state assessment (MSA)",1,"0","Accuracy","Raw",1,"NationalTest",62848,32213,30635,422.5,39.44,424.85,37.08,-0.0613452165763448,6.37157092487394e-05,6.36857700653382e-05,-0.0769903660195487,-0.0457000671331409
3167,"3167_1",226,"Darko & Vasilakos, 2020",2020,1,"India",0.648153846153846,"EastAsia&Oceania","3.Middle",7,NA,"Maths test",1,"0","Accuracy","Raw",1,"BroadMathematics",2776,1361,1415,5.87,2.21,5.65,2.24,0.0988611850905104,0.00144322800111378,0.00144146763837648,0.0243699867282085,0.173352383452812
3167,"3167_1",227,"Darko & Vasilakos, 2020",2020,1,"India",0.648153846153846,"EastAsia&Oceania","4.High",10,NA,"Maths test",1,"0","Accuracy","Raw",1,"BroadMathematics",2776,1361,1415,10.14,6.98,7.5,5.73,0.414212504429165,0.00147237037591709,0.00144146763837648,0.338972983222576,0.489452025635754
3167,"3167_1",228,"Darko & Vasilakos, 2020",2020,1,"India",0.648153846153846,"EastAsia&Oceania","5.UniversityAdults",14,NA,"Maths test",1,"0","Accuracy","Raw",1,"BroadMathematics",2776,1361,1415,14.3,7.14,11.94,7.24,0.328181300169945,0.00146086658754457,0.00144146763837648,0.253236282581057,0.403126317758833
2358,"2358_1",229,"Davis et al., 2017",2017,1,"United States",0.739076923,"NorthAmerica","4.High",10.5,NA,"math section of a cross-curricular test",0,"1","Accuracy","Raw",1,"BroadMathematics",468,223,245,9.17,5.84,9.16,5.87,0.001707729791236,0.00856594070154562,0.00856593758579665,-0.180161915741817,0.183577375324289
2358,"2358_2",230,"Davis et al., 2017",2017,1,"United States",0.739076923,"NorthAmerica","4.High",10.5,NA,"math section of a cross-curricular test",0,"1","Accuracy","Raw",1,"BroadMathematics",432,217,215,8.87,5.14,8.83,5.52,0.00750116898691192,0.00925952284603641,0.00925945772157325,-0.181629010871102,0.196631348844926
39,"39_1",231,"Davis, 2010",2010,0,"United States",0.739076923,"NorthAmerica","5.UniversityAdults",14,258,"American College test (ACT) - Maths",1,"0","Accuracy","Raw",1,"NationalTest",120,49,71,16.16,3.68,16.63,2.88,-0.145536787204948,0.0345809242926844,0.0344926703075596,-0.513723594959504,0.222650020549608
2363,"2363_1",232,"de Almeida Santana et al., 2017",2017,1,"Brazil",0.689307692307692,"SouthAmerica",NA,5.5,NA,"math test",0,"0","Accuracy","Raw",1,"BroadMathematics",392,199,193,3.95,2.36,3.75,1.71,0.0968185326859795,0.0102184291920113,0.0102064727783998,-0.101920475333275,0.295557540705234
3190,"3190_1",233,"De Bondt et al., 2020",2020,1,"Belgium",0.763153846153846,"CentralEurope",NA,9.5,233,"Mathematical achievement",1,"0","Accuracy","Raw",1,"BroadMathematics",356,124,232,15.032,3.595,12.212,3.879,0.745491364086893,0.0131554190660681,0.0123748609566185,0.519922361637116,0.971060366536669
3190,"3190_2",234,"De Bondt et al., 2020",2020,1,"Belgium",0.763153846153846,"CentralEurope",NA,9.5,236,"Mathematical achievement",1,"0","Accuracy","Raw",1,"BroadMathematics",132,65,67,12.138,3.33,9.718,3.654,0.691775554894077,0.0321226908611748,0.0303099885189437,0.337244773555706,1.04630633623245
3468,"3468_1",235,"De Leon, 2021",2021,0,"United States",0.739076923,"NorthAmerica","2.Primary",3,NA,"STAAR -math",1,"0","Accuracy","Raw",1,"NationalTest",27,14,13,1459.36,129.873,1378.69,81.658,0.737289279494787,0.158418231345314,0.148351648351648,-0.0793759490452476,1.55395450803482
3468,"3468_2",236,"De Leon, 2021",2021,0,"United States",0.739076923,"NorthAmerica","2.Primary",3,NA,"STAAR -math",1,"0","Accuracy","Raw",1,"NationalTest",669,301,368,1462.04,126.285,1456.03,120.67,0.0487717193700666,0.00604142822875949,0.00603965044056045,-0.1038457753347,0.201389214074834
3468,"3468_3",237,"De Leon, 2021",2021,0,"United States",0.739076923,"NorthAmerica","2.Primary",4,NA,"STAAR -math",1,"0","Accuracy","Raw",1,"NationalTest",65,37,28,1500.54,114.217,1468.21,106.502,0.291323553597409,0.063394154378856,0.0627413127413127,-0.211519739391569,0.794166846586387
3468,"3468_4",238,"De Leon, 2021",2021,0,"United States",0.739076923,"NorthAmerica","2.Primary",4,NA,"STAAR -math",1,"0","Accuracy","Raw",1,"NationalTest",674,336,338,1549.54,129.314,1544.6,128.349,0.0383448179829003,0.00593586110344531,0.00593477035784728,-0.112931357359971,0.189620993325772
3468,"3468_5",239,"De Leon, 2021",2021,0,"United States",0.739076923,"NorthAmerica","3.Middle",6,NA,"STAAR -math",1,"0","Accuracy","Raw",1,"NationalTest",55,33,22,1530.97,87.64,1503.91,60.686,0.346562554811928,0.0768494448884646,0.0757575757575758,-0.208993377775898,0.902118487399753
3468,"3468_6",240,"De Leon, 2021",2021,0,"United States",0.739076923,"NorthAmerica","3.Middle",6,NA,"STAAR -math",1,"0","Accuracy","Raw",1,"NationalTest",737,382,355,1579.88,111.069,1581.54,108.944,-0.0150839632219874,0.00543485681510062,0.00543470245557112,-0.159813091412052,0.129645164968078
3468,"3468_7",241,"De Leon, 2021",2021,0,"United States",0.739076923,"NorthAmerica","3.Middle",7,NA,"STAAR -math",1,"0","Accuracy","Raw",1,"NationalTest",39,20,19,1529.2,70.178,1505.05,59.821,0.369577838142713,0.104382704312064,0.102631578947368,-0.283919460993185,1.02307513727861
3468,"3468_8",242,"De Leon, 2021",2021,0,"United States",0.739076923,"NorthAmerica","3.Middle",7,NA,"STAAR -math",1,"0","Accuracy","Raw",1,"NationalTest",710,343,367,1599.7,111.974,1699.97,103.285,-0.932138115117583,0.00625213589146575,0.00564024753537071,-1.0873779828433,-0.776898247391865
3468,"3468_9",243,"De Leon, 2021",2021,0,"United States",0.739076923,"NorthAmerica","3.Middle",8,NA,"STAAR -math",1,"0","Accuracy","Raw",1,"NationalTest",49,33,16,1536.61,71.36,1531.31,64.456,0.0765548157156949,0.0928628327500636,0.0928030303030303,-0.535831157115817,0.688940788547207
3468,"3468_10",244,"De Leon, 2021",2021,0,"United States",0.739076923,"NorthAmerica","3.Middle",8,NA,"STAAR -math",1,"0","Accuracy","Raw",1,"NationalTest",741,360,381,1622.49,103.268,1620.31,98.803,0.0215848600364546,0.00540276407042984,0.00540244969378828,-0.122715042561562,0.165884762634471
3468,"3468_11",245,"De Leon, 2021",2021,0,"United States",0.739076923,"NorthAmerica","3.Middle",8,NA,"STAAR -Algebra EOC",1,"0","Accuracy","Raw",1,"AdvancedMaths",312,140,172,3946.68,442.565,3984.85,386.499,-0.092515041719401,0.0129705270301785,0.0129568106312292,-0.316601107728026,0.131571024289224
3468,"3468_12",246,"De Leon, 2021",2021,0,"United States",0.739076923,"NorthAmerica","3.Middle",8,NA,"STAAR - Algebra EOC",1,"0","Accuracy","Raw",1,"AdvancedMaths",312,140,172,3946.68,424.565,3984.85,386.499,-0.0944776038550219,0.0129711151466622,0.0129568106312292,-0.318568750120409,0.129613542410366
3468,"3468_13",247,"De Leon, 2021",2021,0,"United States",0.739076923,"NorthAmerica","4.High",9,NA,"STAAR - Algebra EOC",1,"0","Accuracy","Raw",1,"AdvancedMaths",36,25,11,3423.8,202.699,3417.27,253.994,0.0298124089342084,0.130921435071958,0.130909090909091,-0.704014205960954,0.763639023829371
3468,"3468_14",248,"De Leon, 2021",2021,0,"United States",0.739076923,"NorthAmerica","4.High",9,NA,"STAAR - Algebra EOC",1,"0","Accuracy","Raw",1,"AdvancedMaths",614,292,322,3637.95,304.079,3665.36,349.684,-0.0833665286821295,0.00653590718764869,0.00653024759635838,-0.242132695617644,0.0753996382533855
3468,"3468_15",249,"De Leon, 2021",2021,0,"United States",0.739076923,"NorthAmerica","2.Primary",3,NA,"STAAR -math",1,"0","Accuracy","Raw",1,"NationalTest",99,55,44,1406.85,106.431,1430.52,104.387,-0.224296871644128,0.0411631772051987,0.0409090909090909,-0.626868903811727,0.178275160523471
3468,"3468_16",250,"De Leon, 2021",2021,0,"United States",0.739076923,"NorthAmerica","2.Primary",3,NA,"STAAR -math",1,"0","Accuracy","Raw",1,"NationalTest",783,391,392,1488.37,144.267,1465.79,129.112,0.164950340929125,0.00512593975968734,0.00510856516519651,0.0244081641986469,0.305492517659603
3468,"3468_17",251,"De Leon, 2021",2021,0,"United States",0.739076923,"NorthAmerica","2.Primary",4,NA,"STAAR -math",1,"0","Accuracy","Raw",1,"NationalTest",81,43,38,1500.09,111.978,1503.42,113.171,-0.0295899206569136,0.0495770081395459,0.0495716034271726,-0.472611388823203,0.413431547509376
3468,"3468_18",252,"De Leon, 2021",2021,0,"United States",0.739076923,"NorthAmerica","2.Primary",4,NA,"STAAR -math",1,"0","Accuracy","Raw",1,"NationalTest",804,375,429,1568.31,137.96,1580.33,129.951,-0.0898721412307448,0.00500269200871962,0.004997668997669,-0.228708830580531,0.0489645481190416
3468,"3468_19",253,"De Leon, 2021",2021,0,"United States",0.739076923,"NorthAmerica","2.Primary",5,NA,"STAAR -math",1,"0","Accuracy","Raw",1,"NationalTest",103,58,45,1586.45,118.164,1563.2,106.641,0.205228697478077,0.0396680618154241,0.039463601532567,-0.189774900081333,0.600232295037487
3468,"3468_20",254,"De Leon, 2021",2021,0,"United States",0.739076923,"NorthAmerica","2.Primary",5,NA,"STAAR -math",1,"0","Accuracy","Raw",1,"NationalTest",841,417,424,1628.38,131.813,1625.64,126.081,0.021247732276001,0.00475684051111127,0.00475657210080992,-0.114125517955513,0.156620982507515
3468,"3468_21",255,"De Leon, 2021",2021,0,"United States",0.739076923,"NorthAmerica","3.Middle",6,NA,"STAAR -math",1,"0","Accuracy","Raw",1,"NationalTest",84,44,40,1549.5909,67.9597,1529.35,78.3989,0.276852392486334,0.0481835063417097,0.0477272727272727,-0.15966217994602,0.713366964918688
3468,"3468_22",256,"De Leon, 2021",2021,0,"United States",0.739076923,"NorthAmerica","3.Middle",6,NA,"STAAR -math",1,"0","Accuracy","Raw",1,"NationalTest",802,416,386,1615.1851,123.2765,1606.6088,115.8571,0.0716104175144186,0.00499771676881147,0.00499451972897569,-0.0671577389676854,0.210378573996523
3468,"3468_23",257,"De Leon, 2021",2021,0,"United States",0.739076923,"NorthAmerica","3.Middle",7,NA,"STAAR -math",1,"0","Accuracy","Raw",1,"NationalTest",57,35,22,1542.5714,89.7652,1525.2273,61.1508,0.216649671149458,0.0744377027979843,0.074025974025974,-0.329688462394771,0.762987804693686
3468,"3468_24",258,"De Leon, 2021",2021,0,"United States",0.739076923,"NorthAmerica","3.Middle",7,NA,"STAAR -math",1,"0","Accuracy","Raw",1,"NationalTest",838,434,404,1615.6106,123.265,1618.5594,113.7365,-0.0248284062574423,0.00477976280030798,0.00477939499019026,-0.160528133310232,0.110871320795348
3468,"3468_25",259,"De Leon, 2021",2021,0,"United States",0.739076923,"NorthAmerica","3.Middle",8,NA,"STAAR -math",1,"0","Accuracy","Raw",1,"NationalTest",37,22,15,1568.8182,71.0142,1581.3333,83.2,-0.164406363133388,0.112486474989303,0.112121212121212,-0.843971122449321,0.515158396182545
3468,"3468_26",260,"De Leon, 2021",2021,0,"United States",0.739076923,"NorthAmerica","3.Middle",8,NA,"STAAR -math",1,"0","Accuracy","Raw",1,"NationalTest",778,395,383,1650.8456,104.0435,1665.0104,93.1023,-0.143355336503362,0.00515581905154993,0.00514261162706151,-0.284307933201923,-0.00240273980480049
3468,"3468_27",261,"De Leon, 2021",2021,0,"United States",0.739076923,"NorthAmerica","3.Middle",8,NA,"STAAR - Algebra EOC",1,"0","Accuracy","Raw",1,"AdvancedMaths",7,2,5,3664.5,439.1133,3843,316.4759,-0.518121620134023,0.71917500094645,0.7,-2.52342197511671,1.48717873484867
3468,"3468_28",262,"De Leon, 2021",2021,0,"United States",0.739076923,"NorthAmerica","3.Middle",8,NA,"STAAR - Algebra EOC",1,"0","Accuracy","Raw",1,"AdvancedMaths",370,182,188,3952.9615,436.6752,3999.617,330.5246,-0.12074525740354,0.0108333563457912,0.0108136544306757,-0.325414479938227,0.0839239651311479
3468,"3468_29",263,"De Leon, 2021",2021,0,"United States",0.739076923,"NorthAmerica","4.High",9,NA,"STAAR - Algebra EOC",1,"0","Accuracy","Raw",1,"AdvancedMaths",47,30,17,3452.8333,274.0016,3597.2353,268.6537,-0.530670870018779,0.0951527305353798,0.092156862745098,-1.15122917164635,0.0898874316087926
3468,"3468_30",264,"De Leon, 2021",2021,0,"United States",0.739076923,"NorthAmerica","4.High",9,NA,"STAAR - Algebra EOC",1,"0","Accuracy","Raw",1,"AdvancedMaths",462,235,227,3669.4979,356.7639,3645.6608,313.1185,0.0709374432983988,0.00866605151079711,0.00866060549254851,-0.111998037115936,0.253872923712733
3468,"3468_31",265,"De Leon, 2021",2021,0,"United States",0.739076923,"NorthAmerica","2.Primary",3,NA,"STAAR - Math",1,"0","Accuracy","Raw",1,"NationalTest",166,85,81,1459.0118,147.5545,1478.9136,146.2633,-0.135454523665474,0.0241656497380162,0.0241103848946986,-0.442374453363536,0.171465406032587
3468,"3468_32",266,"De Leon, 2021",2021,0,"United States",0.739076923,"NorthAmerica","2.Primary",3,NA,"STAAR - Math",1,"0","Accuracy","Raw",1,"NationalTest",716,381,335,1469.0656,141.0382,1471.2448,136.6615,-0.0156767966088356,0.00560991816435097,0.00560974654287617,-0.162725469115192,0.131371875897521
3468,"3468_33",267,"De Leon, 2021",2021,0,"United States",0.739076923,"NorthAmerica","2.Primary",4,NA,"STAAR - Math",1,"0","Accuracy","Raw",1,"NationalTest",160,80,80,1555.4375,148.657,1596.1875,135.4273,-0.286576089324893,0.0252566432967898,0.025,-0.600434136476312,0.0272819578265245
3468,"3468_34",268,"De Leon, 2021",2021,0,"United States",0.739076923,"NorthAmerica","2.Primary",4,NA,"STAAR - Math",1,"0","Accuracy","Raw",1,"NationalTest",735,389,346,1573.8303,157.8226,1561.7803,131.4383,0.0825345245182143,0.00546550147586091,0.00546086749780822,-0.0626027102649505,0.227671759301379
3468,"3468_35",269,"De Leon, 2021",2021,0,"United States",0.739076923,"NorthAmerica","2.Primary",5,NA,"STAAR - Math",1,"0","Accuracy","Raw",1,"NationalTest",187,94,93,1631.6383,127.0832,1616.4301,11.1245,0.168148972283455,0.0214665851804262,0.0213909860443834,-0.120885310845222,0.457183255412133
3468,"3468_36",270,"De Leon, 2021",2021,0,"United States",0.739076923,"NorthAmerica","2.Primary",5,NA,"STAAR - Math",1,"0","Accuracy","Raw",1,"NationalTest",830,432,398,1660.1273,146.5285,1671.8417,148.0257,-0.0795554391719542,0.0048311903203923,0.00482737762888517,-0.215985140813137,0.0568742624692282
3468,"3468_37",271,"De Leon, 2021",2021,0,"United States",0.739076923,"NorthAmerica","3.Middle",6,NA,"STAAR - Math",1,"0","Accuracy","Raw",1,"NationalTest",131,71,60,1559.0563,100.8227,1565.9167,94.9661,-0.0698704307350421,0.0307698068275885,0.0307511737089202,-0.416879674011866,0.277138812541781
3468,"3468_38",272,"De Leon, 2021",2021,0,"United States",0.739076923,"NorthAmerica","3.Middle",6,NA,"STAAR - Math",1,"0","Accuracy","Raw",1,"NationalTest",786,366,420,1634.3798,129.8859,1631.4286,130.0896,0.0227024457056386,0.0051135206813685,0.00511319281811085,-0.117668546222432,0.163073437633709
3468,"3468_39",273,"De Leon, 2021",2021,0,"United States",0.739076923,"NorthAmerica","3.Middle",7,NA,"STAAR - Math",1,"0","Accuracy","Raw",1,"NationalTest",106,61,45,1581.7869,104.2991,1584.9333,91.7582,-0.0317218873409391,0.0386204114401564,0.038615664845173,-0.42134341974596,0.357899645064082
3468,"3468_40",274,"De Leon, 2021",2021,0,"United States",0.739076923,"NorthAmerica","3.Middle",7,NA,"STAAR - Math",1,"0","Accuracy","Raw",1,"NationalTest",893,452,441,1640.1836,123.2888,1654.644,130.3146,-0.114034722043703,0.00448724410569714,0.0044799630766761,-0.245504813014031,0.0174353689266242
3468,"3468_41",275,"De Leon, 2021",2021,0,"United States",0.739076923,"NorthAmerica","3.Middle",8,NA,"STAAR - Algebra EOC",1,"0","Accuracy","Raw",1,"AdvancedMaths",113,63,50,3591.5397,286.5344,3706.24,263.4652,-0.414697286541966,0.0366339620653401,0.0358730158730159,-0.793895218023094,-0.0354993550608382
3468,"3468_42",276,"De Leon, 2021",2021,0,"United States",0.739076923,"NorthAmerica","3.Middle",8,NA,"STAAR - Algebra EOC",1,"0","Accuracy","Raw",1,"AdvancedMaths",829,433,396,3903.7044,494.3641,3956.2551,468.0284,-0.109034280926876,0.00484189171800077,0.00483472134742343,-0.245615239867179,0.0275466780134268
3468,"3468_43",277,"De Leon, 2021",2021,0,"United States",0.739076923,"NorthAmerica","4.High",9,NA,"STAAR - Algebra EOC",1,"0","Accuracy","Raw",1,"AdvancedMaths",50,30,20,3777.9,395.5509,3624.7,309.3367,0.421023409870082,0.0851059404499196,0.0833333333333333,-0.164931982343104,1.00697880208327
3468,"3468_44",278,"De Leon, 2021",2021,0,"United States",0.739076923,"NorthAmerica","4.High",9,NA,"STAAR - Algebra EOC",1,"0","Accuracy","Raw",1,"AdvancedMaths",284,159,125,3763.1069,387.7217,3878.832,302.8574,-0.327899835524459,0.014478600961553,0.0142893081761006,-0.564745860457596,-0.0910538105913221
3468,"3468_45",279,"De Leon, 2021",2021,0,"United States",0.739076923,"NorthAmerica","2.Primary",3,NA,"STAAR - Math",1,"0","Accuracy","Raw",1,"NationalTest",139,78,61,1470.5769,147.4024,1446.8525,111.0332,0.178773154367147,0.0293289188992995,0.0292139554434636,-0.159832133657282,0.517378442391576
3468,"3468_46",280,"De Leon, 2021",2021,0,"United States",0.739076923,"NorthAmerica","2.Primary",3,NA,"STAAR - Math",1,"0","Accuracy","Raw",1,"NationalTest",733,353,380,1458.0028,161.3137,1443.0368,150.5693,0.0960371215214684,0.00547073149372546,0.00546444013717012,-0.0491701921052713,0.241244435148208
3468,"3468_47",281,"De Leon, 2021",2021,0,"United States",0.739076923,"NorthAmerica","2.Primary",4,NA,"STAAR - Math",1,"0","Accuracy","Raw",1,"NationalTest",202,102,100,1597.9118,149.1804,1589.03,153.6195,0.0586667807109322,0.0198124408536744,0.0198039215686274,-0.218874042868785,0.336207604290649
3468,"3468_48",282,"De Leon, 2021",2021,0,"United States",0.739076923,"NorthAmerica","2.Primary",4,NA,"STAAR - Math",1,"0","Accuracy","Raw",1,"NationalTest",702,431,271,1570.9675,164.2082,1558.1159,133.6683,0.0839141823552303,0.00601523789271132,0.00601022251521819,-0.0683591719272296,0.23618753663769
3468,"3468_49",283,"De Leon, 2021",2021,0,"United States",0.739076923,"NorthAmerica","2.Primary",5,NA,"STAAR - Math",1,"0","Accuracy","Raw",1,"NationalTest",181,99,82,1605.2828,143.5414,1653.5122,134.8708,-0.345273770247729,0.0226254524290834,0.0222961320522296,-0.642071304092467,-0.0484762364029904
3468,"3468_50",284,"De Leon, 2021",2021,0,"United States",0.739076923,"NorthAmerica","2.Primary",5,NA,"STAAR - Math",1,"0","Accuracy","Raw",1,"NationalTest",831,441,390,1657.6667,169.6712,1640.8051,139.1899,0.1080102881886,0.004838695647946,0.00483167626024769,-0.0285251051987255,0.244545681575925
3468,"3468_51",285,"De Leon, 2021",2021,0,"United States",0.739076923,"NorthAmerica","3.Middle",6,NA,"STAAR - Math",1,"0","Accuracy","Raw",1,"NationalTest",189,99,90,1571.7778,122.6925,1586.7111,119.9518,-0.123013297060548,0.0212521536757554,0.0212121212121212,-0.410580543699687,0.164553949578592
3468,"3468_52",286,"De Leon, 2021",2021,0,"United States",0.739076923,"NorthAmerica","3.Middle",6,NA,"STAAR - Math",1,"0","Accuracy","Raw",1,"NationalTest",865,449,416,1618.3452,144.9105,1613.3365,128.7319,0.0364617633825385,0.00463178612014872,0.00463101764605105,-0.0971148546693482,0.170038381434425
3468,"3468_53",287,"De Leon, 2021",2021,0,"United States",0.739076923,"NorthAmerica","3.Middle",7,NA,"STAAR - Math",1,"0","Accuracy","Raw",1,"NationalTest",136,73,63,1566.5479,97.8535,1589.1587,123.0348,-0.205138731510326,0.0297263588745818,0.0295716460100022,-0.54609658468553,0.135819121664879
3468,"3468_54",288,"De Leon, 2021",2021,0,"United States",0.739076923,"NorthAmerica","3.Middle",7,NA,"STAAR - Math",1,"0","Accuracy","Raw",1,"NationalTest",756,373,383,1619.9357,120.8023,1634.6136,115.1757,-0.124404556733381,0.00530216698117478,0.00529193120489434,-0.267350106648159,0.0185409931813974
3468,"3468_55",289,"De Leon, 2021",2021,0,"United States",0.739076923,"NorthAmerica","3.Middle",8,NA,"STAAR - Math",1,"0","Accuracy","Raw",1,"NationalTest",10,6,4,1534,79.8674,1544,123.318,-0.101589618560488,0.41718268919663,0.416666666666667,-1.54073739534456,1.33755815822359
3468,"3468_56",290,"De Leon, 2021",2021,0,"United States",0.739076923,"NorthAmerica","3.Middle",8,NA,"STAAR - Math",1,"0","Accuracy","Raw",1,"NationalTest",35,15,20,1570.4,103.9277,1585.35,132.7662,-0.123175590800986,0.116883412754798,0.116666666666667,-0.817233278585674,0.570882096983703
3468,"3468_57",291,"De Leon, 2021",2021,0,"United States",0.739076923,"NorthAmerica","4.High",9,NA,"STAAR - Algebra EOC",1,"0","Accuracy","Raw",1,"AdvancedMaths",21,12,9,3533.5833,432.5807,3770.5556,409.3167,-0.560295919063972,0.201919004371105,0.194444444444444,-1.4947786886932,0.374186850565251
3468,"3468_58",292,"De Leon, 2021",2021,0,"United States",0.739076923,"NorthAmerica","4.High",9,NA,"STAAR - Algebra EOC",1,"0","Accuracy","Raw",1,"AdvancedMaths",128,70,58,3495.0143,397.2305,3733.6724,545.5909,-0.507588002402667,0.0325335216436495,0.0315270935960591,-0.864481876911514,-0.15069412789382
1913,"1913_1",293,"de Zeeuw et al., 2016",2016,1,"Netherlands",0.757692307692308,"CentralEurope","2.Primary",1,78,"Arithmetic Test",0,"0","Accuracy","Raw",1,"BroadMathematics",847,429,418,53.7,12.6,53,12.7,0.0553383835188273,0.00472515458344498,0.00472334682860999,-0.0795818666160936,0.190258633653748
1913,"1913_2",294,"de Zeeuw et al., 2016",2016,1,"Netherlands",0.757692307692308,"CentralEurope","2.Primary",2,90,"Arithmetic Test",0,"0","Accuracy","Raw",1,"BroadMathematics",1026,491,535,74.4,11.5,69.8,11.1,0.40732569597528,0.00398667364061392,0.00390581875630508,0.283427192889644,0.531224199060916
1913,"1913_3",295,"de Zeeuw et al., 2016",2016,1,"Netherlands",0.757692307692308,"CentralEurope","2.Primary",3,102,"Arithmetic Test",0,"0","Accuracy","Raw",1,"BroadMathematics",1091,536,555,90.7,10.9,86.3,11.1,0.399920050689401,0.00374077135694913,0.00366747344359285,0.279911900573005,0.519928200805798
1913,"1913_4",296,"de Zeeuw et al., 2016",2016,1,"Netherlands",0.757692307692308,"CentralEurope","2.Primary",4,114,"Arithmetic Test",0,"0","Accuracy","Raw",1,"BroadMathematics",1153,560,593,100,9,96.4,9.7,0.384345567852142,0.00353611456031713,0.00347205492652373,0.26767336782288,0.501017767881405
1913,"1913_5",297,"de Zeeuw et al., 2016",2016,1,"Netherlands",0.757692307692308,"CentralEurope","2.Primary",5,126,"Arithmetic Test",0,"0","Accuracy","Raw",1,"BroadMathematics",1045,515,530,111.5,8,108.3,8.6,0.385090709646387,0.00389949450155766,0.00382854002564572,0.262557009665983,0.507624409626791
1913,"1913_6",298,"de Zeeuw et al., 2016",2016,1,"Netherlands",0.757692307692308,"CentralEurope","2.Primary",6,138,"Arithmetic Test",0,"0","Accuracy","Raw",1,"BroadMathematics",754,355,399,123.1,7.8,120.5,7.9,0.331080114061888,0.00539585542932678,0.0053231670726111,0.186876568345353,0.475283659778423
863,"863_1",299,"Deen, 2013",2013,0,"United States",0.739076923,"NorthAmerica","3.Middle",7,NA,"CRCT math",1,"0","Accuracy","Raw",1,"NationalTest",51,27,24,805,23.69,822.04,23.19,-0.726446958554291,0.0838774800134368,0.0787037037037037,-1.30787552193901,-0.145018395169569
3971,"3971_1",300,"del Olmo-Munoz et al., 2022",2022,1,"Spain",0.756461538461539,"CentralEurope",NA,5.5,132,NA,0,"0","Accuracy","Raw",1,"AdvancedMaths",37,20,17,2.75,2.05,2.41,2.35,0.155092308783722,0.109148578388033,0.108823529411765,-0.514313901837357,0.824498519404802
3931,"3931_1",301,"Delage et al., 2022",2022,1,"Canada",0.754,"NorthAmerica","5.UniversityAdults",14,NA,"Math Questionnaire",0,"0","Accuracy","Raw",1,"BroadMathematics",411,125,286,0.89,1.12,0.86,1.69,0.0194850428178683,0.0114969653783692,0.0114965034965035,-0.19129063188451,0.230260717520247
56,"56_1",302,"Depalma, 2010",2010,1,"United States",0.739076923,"NorthAmerica","4.High",12,NA,"Florida Comprehensive Assessment Test",1,"0","Accuracy","Raw",1,"NationalTest",106,47,59,4.51,0.66,4.37,0.67,0.21033797521929,0.0384344372673337,0.0382257482870537,-0.178344326073777,0.599020276512356
742,"743_1",303,"Diamantopoulou et al., 2012",2012,1,"Spain",0.756461538461539,"CentralEurope","2.Primary",1,82,"Math ability tests of the BateriÌa III APROV - Calculation",1,"0","Accuracy","Raw",1,"Computation",82,45,37,5.75,1.83,5.59,2.36,0.0767298727061857,0.0492851484770877,0.0492492492492492,-0.364903992639109,0.51836373805148
742,"743_2",304,"Diamantopoulou et al., 2012",2012,1,"Spain",0.756461538461539,"CentralEurope","2.Primary",2,94,"Math ability tests of the BateriÌa III APROV - Calculation",1,"0","Accuracy","Raw",1,"Computation",64,32,32,9.93,2.86,9.65,2.76,0.0996283575953696,0.0625775453877902,0.0625,-0.400113789381738,0.599370504572477
742,"743_3",305,"Diamantopoulou et al., 2012",2012,1,"Spain",0.756461538461539,"CentralEurope","2.Primary",3,106,"Math ability tests of the BateriÌa III APROV - Calculation",1,"0","Accuracy","Raw",1,"Computation",60,30,30,13.16,3.32,13.58,2.74,-0.137983316291295,0.0668253282964562,0.0666666666666667,-0.655072213221603,0.379105580639012
742,"743_4",306,"Diamantopoulou et al., 2012",2012,1,"Spain",0.756461538461539,"CentralEurope","2.Primary",4,118,"Math ability tests of the BateriÌa III APROV - Calculation",1,"0","Accuracy","Raw",1,"Computation",66,33,33,15.27,1.5,14.54,2.33,0.372553246249191,0.0616575448582637,0.0606060606060606,-0.123212413332226,0.868318905830607
